topic_name|text_seg|count
AGUA_PODRIDA|puch chi a|1
AJAL_PUJ|ahal puh|3
AJAL_PUJ|ahalpuh|1
AJAL_QANA|ahal cana|3
AJAW_AJTZIK_WINAQ|Ah ꜩic vinac ahau|1
AJAW_AJTZIK_WINAQ|Ah ꜩíc vínac|1
AJAW_AJTZIK_WINAQ|Ahau ah ꜩic vinac|1
AJAW_AJTZIK_WINAQ|Ahau ah ꜩíc vínac|1
AJAW_AJTZIK_WINAQ|ahau ahtzic vinac|1
AJAW_AJTZIK_WINAQ|ahau ahtzíc vínac|1
AJAW_AWILIX|Ahau auilix|1
AJAW_AWILIX|Ahau auílíx|1
AJAW_AWILIX|ahau auílix|1
AJAW_JAQAWITZ|Hacauíꜩ|1
AJAW_JAQAWITZ|Hacaviꜩ|1
AJAW_JAQAWITZ|ahau hacauítz|1
AJAW_JAQAWITZ|ahau hacavitz|1
AJAW_KICHE|ahau qui che|1
AJAW_KICHE|ahau quiche|16
AJAW_KICHE|ahau quíche|1
AJAW_KICHE|ahauquíche|3
AJAW_KICHE|ahavab quiche|1
AJAW_KOTUJA_UNDÉCIMO|Ahau cotuha|2
AJAW_LOLMET|Lolmet ahau|2
AJAW_LOLMET|ahau lolmet|2
AJAW_NIM_CHOKOJ|Nim chocoh|1
AJAW_NIM_CHOKOJ|Ním chocoh|1
AJAW_NIM_CHOKOJ|ahau nim chocoh|1
AJAW_NIM_CHOKOJ|ahau ním chocoh|1
AJAW_NIM_CHOKOJ|nimchocoh ahau|1
AJAW_QALEL|Ahau ꜫalel|2
AJAW_QALEL|ahau ealel|2
AJAW_QALEL|ealel ahau|3
AJAW_QALEL|ealelahau|1
AJBATENAJA|ah batena|1
AJBATENAJA|ahbatena|1
AJKIBAJA|quibaha|1
AJKIBAJA|quíbaha|1
AJPOP|ahpop|4
AJPOP|ahpopol|1
AJPOP_KAMJA|ahpop camha|3
AJPOP_KAMJA|ahpop camhail|1
AJPOP_KAMJA|ahpopcam ha|1
AJQUKUMATZ|ah cueumatz|1
AJQUKUMATZ|ahcucumatz|1
AJQUKUMATZ|cucumatz|6
AJTOJIL|ah tohil|1
AJTOJIL|ahtohíl|1
AJTZIKINAJA|ahq,iquinaha|1
AJTZIKINAJA|q,íquínaha|1
AJTZIKINAJA|quinaha|1
AJTZIKINAJA|q’íquínaha.|1
AJTZIK_WINAQ|ahtzíc vínac|1
ALOM|Pe.|1
ALOM|alom|9
ALOM|dos vezes madre|1
ALOM|las madres|1
ALOM|madre|1
ALOM|madres|2
AWILIX|aulix|18
AWILIX|aulíx|1
AWILIX|auílix|7
AWILIX|auílíx|12
AWILIX|avlix|1
BALAM_AQAB|Balam acab|1
BALAM_AQAB|acab|1
BALAM_AQAB|ba lam acab|1
BALAM_AQAB|balam acab|18
BALAM_AQAB|balamacab|5
BALAM_AQAB |Balam acab|1
BALAM_KITZE|Balam quitze|1
BALAM_KITZE|Balamquítze|1
BALAM_KITZE|balam quitze|6
BALAM_KITZE|balam quiꜩe|8
BALAM_KITZE|balam quíꜩe|3
BALAM_KITZE|balamquitze|1
BALAM_KITZE|balamquiꜩe|1
BALAM_KITZE|balamquítze|6
BALAM_KITZE|balamquíꜩe|3
BALAM_KITZE|balamq’tze|1
BARRANCO_AGITADO|fuerte varranca|1
BARRANCO_AGITADO|nuzivan|1
BARRANCO_RUIDOSO|cul, cu ziuan|1
BATZA|Baꜩa|2
BELEJEB_KEJ|Beleheb quih|2
BELEJEB_KEJ|beleheb queh|1
BELEJEB_KEJ|xube+heb t/equeh|1
BELEJEB_KEJ_NOVENO|Beleheb quih|1
BELEJEB_KEJ_NOVENO|Beleheb quíh|1
BELEJEB_TZI|beleheb q’í|1
BELEJEB_TZI|beleheb tzi|1
BITOL|Pe.|1
BITOL|bitol|11
BITOL|criador|1
BITOL|cría dores|1
BITOL|críadores|1
BITOL|formador|2
BITOL|hazedor|1
BITOL|vcahau|1
CAMINO BLANCO|zaqui be hun|1
CAMINO_AMARILLO|amaríllo|1
CAMINO_AMARILLO|hun cut ꜫana|1
CAMINO_BLANCO|blanco|2
CAMINO_BLANCO|zaqui be|1
CAMINO_NEGRO|be xibalba|1
CAMINO_NEGRO|el camino negro|1
CAMINO_NEGRO|el camíno de los SSes|1
CAMINO_NEGRO|el camíno negro|1
CAMINO_NEGRO|hun cut queca be|1
CAMINO_NEGRO|negro|1
CAMINO_NEGRO|que ca be|2
CAMINO_NEGRO|vno era Negro|1
CAMINO_ROJO|ca ca be|1
CAMINO_ROJO|colorado|2
CAMINO_ROJO|hun ꜫaꜫabe|1
CAMINO_VERDE|otro verde|1
CAMINO_VERDE|raxa be|1
CASA_DE_HIELO|casa donde arrodillaban|1
CASA_DE_HIELO|xuxulim ha|1
CASA_DE_JAGUARES|balami ha|1
CASA_DE_JAGUARES|casa de leon tígres|1
CASA_DE_LOS_CHAYES|casa de navajas|1
CASA_DE_LOS_CHAYES|chaim ha|1
CASA_DE_MURCIELAGOS|casa de murzíelagos|1
CASA_DE_MURCIELAGOS|tzotzi ha|1
CASA_OSCURA|casa de la obscuridad|1
CASA_OSCURA|quecuma ha|1
